Esquema Terapêutico,Frequência
ZOF+TAX+HERCE,3
TAXOL+CARBO+ZOM,3
"TAMOXIFENO, FAC",3
HERCE+DOCE,3
AC-TXHERCEPTIN,3
AC TAOT+HERCEPT,3
4 AC+ 4 T,3
PACLITAXEL E HE,3
CARBO+PXT,3
PTXD1 D15,3
GENUXAL DOCETAX,3
CICLO/ DOOXORR,3
DOXO/PACLITAXEL,3
AC -TCMF,3
DOX+CIC,3
ADENOCARCINOMA,3
TXT/TMF,3
DOXO.CICLOFOSFA,3
ADB+CTX+HERCE,3
Taxol/herceptin,3
ADR+CICLO,3
HERCPETIN,3
T+HERCEPTIN,3
ADRI+ CICLOF,3
CMF+D,3
AC +CLI,3
FC+T,3
fac -,3
"ADM+CTX,",3
0AC+T,3
PACLITAXE/FILGR,3
AC-CICLO/DOX/GR,3
TAXOL+TRAST.,3
AC/FILGRASTINA,3
AC-D.,3
TAX+CARBO SEMA,3
AC X4 + PACLIT,3
TAMOXIFENOI,3
c+t,3
FAc/T,3
fac-,3
FECIDOCETAXEL,3
5FU/EP/CTX,3
EPIRRUBICINA/CT,3
AC= T,3
AD-DH,3
DOCETAXEL+DOXOR,3
21122020,3
TXT/HERCEPTIN/,3
DOCET/CICLOFOSF,3
HERCE+ZOM,3
TXT-,3
ADRI/CICL/PAC,3
ACT LEUPRO,3
docetaxel+trans,3
DCT+HERCEPTIN,3
"FILGRASTIMA, AC",3
TXT/HERCP,3
HERCP+ANASTR,3
AC-TFILGRASTIM,3
ADR/CICLO/PAC,3
TCH (HERCEPTIN,3
ADB+CTX+ZOMETA,3
ADB+CTX+HERCEPT,3
FAXC,3
4AC+2AT+2T,3
"AC100MG,1000MG",3
MFLOX,3
CARBO+ PCT,3
CARBO+DOCE+HER,3
fac +,3
CARBOTAXOLDCF,3
DOXORRUICINA E,3
"DOXORRUB, CICLO",3
AC T+ERCEPTIM,3
carbotaxoldcf,3
PACLI+HERC,3
CARBOHER,3
GEMZAR + CDDP,3
MAMAAC,3
AC-T/FILGASTRI,3
MAMAADJ FAC,3
TAXOTERE+HERCE,3
TRONTUZUMABE,3
ZOMETA+ANASTROZ,3
CARBO/ HERC,3
SFU DOXO DICLOL,3
ac docetaxel,3
Docetaxel + Cic,3
Vinorelbina,3
AC/TAXOL/GRANU,3
AC -THD,3
CAR+TXT+HER+PER,3
PACLITAXEL 28/2,3
AXT,3
AC-TAL,3
ACT/TAXOL,3
CISPLATINA TAXO,3
ACT 1ª L,3
tcx6,3
MAMAAC/ FILGAS,3
04AC+04T,3
oc-tx,3
"TCH,FILGASTRIM",3
PAXCLITAXEL,3
DOCETAX+PERTUZU,3
DOXOR+CICLO+ZOM,3
HERC+ZOM+ZOL+AN,3
TAXOTER+HERCEP,3
AC-TAXOL+H+P,3
DOCE+ HERCEPTI,3
DOXORRUB+CTX,3
CTX/EP,3
HERCP+ANASTRIOZ,3
ZOLADDEX,3
TRANSTUZUMABE+T,3
"DOCE,CICLO",3
TAMO,3
5FU+FC,3
CISPL+GENTAMIC,3
BARCO/ TAXOL,3
DOCETAXEL/AC,3
CARBO+DOCE+TAXE,3
AC->TAXOL,3
TXT _C,3
AC/HERCEP,3
AC-THD,3
FLUOR+DOXO+CICL,3
TC+ZOMETA,3
AC-TXHERCEPTN,3
FLUOR+CICLO+ADR,3
TAXOL/ AC,3
AC =TXT,3
HERCE+TAMOXIFE,3
TAXOLCISPLATIN,3
TAXOLAREDIA AC,3
T-> AC,3
DOXO+CICLO D1,3
DOXU/ CICLO,3
DOXO+CICLO + PA,3
FC 100,3
CMF(FLU+METHO),3
AC= PACLITAXEL,3
CICLO+ DDOXO,3
HERCEPTIN PACLI,3
GENCCDDP,3
PACLITAXELETRAS,3
CARBO+TXT+HER+P,3
DOXORR+CICLO,3
ANAGRELIDA,3
CMF+TRANSTUZUMA,3
DOCETAXEL+TAXOT,3
txt +,3
EMF,3
DOXO/ETX/DOCET,3
AC+T+TXT+HERCEP,3
ac+t+herceptim,3
DOCET/CICLO/TRA,3
tc+herceptim,3
AC+CARBO TAXOL,3
"IMUNOBCG, TAX+",3
"TXT,FILGASTRIM",3
AC 21/21 DIAS,3
5FUADM PACLIT,3
AC 85MG 850 MG,3
TAXOL+CIS,3
ACT+ACIDO ZOLED,3
GENCIT+CISPLT,3
RITUXIMAB,3
ADRIA+CICLO+EPI,3
CARBO+TXT+HERCE,3
EPIR+CICLO+DOCE,3
HERCE+ZOME+ANAS,3
TXT+CARBO+HERCE,3
AC-TAXOL + H+P,3
TAXOL/IFO/MESNA,3
DOCE+AC,3
CICLO+EPIRRU,3
CDDP+GEMZA+ZOME,3
TAXOL/PACLITAXE,3
CAPECITABINA 5,3
PTX D4,3
TPH,3
AC DD-T,3
AC SEGIDO DE TA,3
CICLO/ DOXO,3
CICLOFOSF/ADRIA,3
GENCI,3
Carbotaxolseman,3
"CARBOPLATINA,OX",3
DOCE+CARB+TRAST,3
AC/TAXOL/HERCEP,3
TAXOL+ DDP,3
AC 95950 MH,3
"AT 70MG, 200 M",3
CDDP+P,3
AC+5FU,3
PCT+GENCITABINA,3
xel,3
ACT+HERCEP,3
CICLOFOFASMIDA,3
AC+T/MFFAC,3
HERCEP+DOCETAX,3
AC-CICLOFO/PACL,3
AC-CICLOFO/DOXO,3
AC/CICL/DOXO/TR,3
FAC(CMF),3
TXT+H,3
DECETA+CICLOFOS,3
5FU+CICLOFOS,3
AC/ HERC,3
"FAC,TAXOL",3
XELODA+AREDIA,3
PCT+,3
"CICL,DOXO",3
CICLOFASMIDA,3
CICLOF+PACLIT,3
HERCEPETIN,3
AC/ CICLOFOSFAM,3
AC/ CICLOFAFASM,3
"TRASTUZUMAB, PA",3
"ANASTRAZOL, ACI",3
"ANASTROZOL, QUI",3
FAC/TAXOL,3
SFU+DOXO+CICLO,3
TXT /FILGRASTI,3
TXT/HERCE,3
TAXOL/ HERCE,3
AC-TAXANO,3
PACLOTAXELETRAS,3
TC+HERCEPTIN,3
TRANS+GOSSE+TAM,3
DOCETA+TRANSTU,3
PACLIT+TRANST,3
FEC100/DOCETAX,3
HERCEPT+PERTUZU,3
TRANST+ANASTR,3
TAMOXIF+HERCEP,3
ADRIACINA/ CICL,3
TAXOT+TRANSTUZ,3
AC/ TH,3
TXT /CARBO / H,3
AC-t,3
CICLFL ADRIAM,3
ADRIB+CICLO+TAX,3
"CICLOF, ADRIAMI",3
CISP/GEMZAR,3
AC/,3
"CICLO,DOXO,DEXA",3
DOXO/CTX/DOCETA,3
AC ->T,3
4AC(FAC) + 4T,3
DOCEXTAXEL,3
GEN+PCT,3
CMF(FAC),3
5FU-EP-CICLO,3
ADRIA-CICLOFOSF,3
AC =PCT SEMANA,3
AC => PCL SEMA,3
AC-T+TRASTUMABE,3
DOXORR/ CICLO,3
TAXOL+GENUXAL,3
CAPEC+DOCETAXEL,3
"ANASTROZOL, 5FU",3
DOXOCPM TAXOL,3
AC-PLC SEMANAL,3
PACLIPLENO,3
HERCEPITIN,3
GENCITABINA + 5,3
AC-CICLOFOSAMID,3
DOXOR/ CICLO,3
ANAST+HERC+PERT,3
ADRIBLATINA+CIC,3
PACLI+TRANS+ANA,3
"CICL,DOXO, FLU",3
TAMOXIFNO,3
CARB+DOC,3
DOCET+TRANS+PER,3
DOCE+GERCEPTIN,3
TAXOL+PAMIDRONA,3
AC-CARBO TAXOL,3
CICLOFOS+PACLIT,3
VINORELBINA ORA,3
FLUOROURACIL+CI,3
TRASTUZ+PERTUZ,3
PACLI/TRAS/PERT,3
DOCET+GENCITAB,3
CICLOFDOCETTRAS,3
TAXOTERE+TRASTU,3
PACLIT+HERCPT,3
AC TAXOL+CARBO,3
DOXO+FLUO+CICLO,3
AC =>PACL,3
ADRIMIC/ CICLOF,3
ZOME/FULVE,3
AC-CICLO/PACLIT,3
ADRIBLASTINA+GE,3
AC -PCL SEMANA,3
ac+taxol+carbo,3
ANASTROZOL+TRIP,3
DOCETAXE/CICLOF,3
DOCE+CARB,3
PACLITA/FILGRAS,3
AC-CICLO/DOXP-P,3
ADRIBLAS/GENUX,3
AC TAANE,3
TRANST+PERTUZ,3
TRANST+PERTU,3
XELOX,3
GEM+CDDP+HERCP+,3
TRASTUZUMABE E,3
CIC DOXO,3
AC-CICLO/PAC/GR,3
"CDDP,PACLITAXE",3
AC/T(DOXO+CICLO,3
HERCEPTIN+T,3
HERC+DOCETAXEL,3
PERTUZUMABE,3
AMASTROZOL,3
TAMF,3
ANASTORZOL,3
HERCEP+PERT,3
ac+t+hercetin,3
CICLO+DOXO+DEXA,3
DOXXOR/CICLO,3
CICLO/DORRUB,3
TH +PACLITAXEL,3
DEXAONDA DOCE,3
HERCP+PTX,3
"CARBOPLATINA, G",3
PACLIT TRASTUZ,3
TRASTUZUMABE (H,3
CAR/PAC,3
CAR,3
TAXOL(25/08/23,3
HERECEPTIN+TAXO,3
AC-T/HERCE,3
ACT DOSE DENSA,3
TC /HERCEPTIN,3
"PACLITAXEL, DOC",3
AC CICLO-DOXO,3
CICLO/ADRIA,3
"TXT,TRASTUZUMAB",3
HERCEP+PAC,3
11-ANASTRAZOL,3
011 ANASTROZOL,3
DCT+TRASTU,3
TRASNTUZUMABE P,3
AC-T+TRASTU,3
TAXOL(23/06/23,3
TAXOL05/04/23,3
"TAXOL+TRASTUZU,",3
TAXOL- 120,3
PAC+PERT+TRAST,3
PACLIT+HERCEP,3
TRANS+PERT+DOCE,3
AC -ANE,3
EPIRRUBICINA+GE,3
ANAS+PERT+ZOM+H,3
CICLO/ADRIMICIN,3
FUILVETRANTO,3
AC+TX8,3
AC DOSE DENSA,3
TRAST+FILGRAS,3
anastrosol,3
CAR+TAXOL+FILGA,3
"DOXO,CARBO, PA",3
DOXO/ICLOFILGRA,3
AC-TAXOL + TRAS,3
ACDD+PLACITAXEL,3
AC-T+GRAN,3
DOCETA/CICLOFOS,3
ADRIBLAST/GENUX,3
TAXOL+CARBO+DEX,3
FAC X4 + TXT X,3
C+T/T,3
doxo/ifo,3
AC CICLO+DOXO,3
AC-CICLO-DOXO,3
PACLI+HERCEP,3
ACD-T,3
4AC->12T,3
"DOXO,PACLITAXE",3
DOX-CLI,3
TTX,3
ACDD+PACLITAXEL,3
ac paclit,3
DOXORRUBINA+ CI,3
ACT+FILGAS+TAXO,3
CARB+TAXOL+FILG,3
CARBOP/DOCE/ZOM,2
DOCETAX+TRASTU,2
AC TXTRAST,2
AC-CaboTaxol,2
Carbo+Taxolsema,2
AC-T+arboplatin,2
TRATS+TAXOL+PER,2
DOCE+CICL+TRAST,2
PACLITXEL,2
TAXOL+ HERCPET,2
AC: ADM+CTX+ZOM,2
CAPACITIBINA,2
HERCEPTION+TXT,2
TAXOLEHERCEPTI,2
GENZAR+DDP,2
CICLO/ ADRIAMIC,2
DOXO/CICLOFOS,2
CICLO+DOXO+TRAS,2
"CARBOPLATINA, E",2
AC+CTX+TXT,2
AC: ADM+CTX+CIC,2
TX+CARBO,2
DOXORRUBCINA E,2
TRAST+CARBO+TAX,2
PACLITAXELMONOT,2
TAXOL(09/11/23,2
ANAST/HERC,2
CARBOTAXOL+HERC,2
DOCE+TRSTU,2
145-069-029,2
PERTUZ+TRASTUZ,2
carbo+taxolsema,2
AC-T-CLI,2
TAC GRANULO,2
TAXOTENE CARBOL,2
ADRIMICINA/CICL,2
TRASTU+GRANULO,2
tx/ca,2
TAXOL+HERCEPTN,2
CICLOFOSFAMI+EP,2
ACT/TRAST,2
HERCEP TAXOL,2
Paclitaxel+Dexa,2
PACLIT TRAST,2
Paclitaxel+DEXA,2
"CICLO, DOXO,",2
"CICLOF,ADRIAMI",2
"PACLIT,DEXA",2
*,2
CICLO+ADRIA,2
AC DOSE DENSA T,2
PERTUZUMAB+TRAN,2
CARBODOCETAXEL,2
DOCE+TRATUZ+FIL,2
DOCETAXEL +FILG,2
DOXO/GENCITABIN,2
GENUXAL/TAXOL,2
CAPECITABINA +,2
ac-t+erceptin,2
ADRI+CICLOF,2
ACT PACLITAXEL,2
CLITAXEL+HECEPT,2
AC-H,2
"XELODA, ZOMETA",2
TRAST+TAXOL+DEX,2
carbotaxolseman,2
TAXOL+ TRATUZUM,2
fa,2
ACDD- TAXOL,2
TAXOTORE,2
AC 850MG,2
CISPLATINA ADR,2
"CICL, DOXO",2
"CICL, DOX, FLU",2
DOCE+TRATU,2
GEM CIS,2
DOCE+TRASTUZU,2
DOCE+TRASTU+,2
DOC+CARB+TRAST,2
FLUORO+CICLO+AD,2
"CICL,FLUO,DOX",2
FECFEC,2
TAXOLDDP,2
CA+TA,2
TC-AC,2
AC NEOADJ,2
PACLIT/FILGRAST,2
PACLI/TRANS,2
TAXOL/CARBOPLAT,2
SACT,2
PLACTAXOL,2
AC-TAC.ZOL,2
herceptin+taxol,2
AC-THRASTUZUMAB,2
ADR/CICLO/PACL,2
ANASTR+HERC+PER,2
FLUOR+ADRIB+CIC,2
DOXORUB+CICLOF,2
HERCE+ANASTRAZ,2
CISPL+GENTACIB,2
AC/ TAXANE,2
TC/HERCEP/ANAST,2
ACDD-TAXOL DD,2
TXT/FILGESTRIN,2
CICLDOX FLU,2
TAMOXIFENP,2
FLUORO+ADRIBLA,2
AC850MG,2
"CICL,DOX",2
EPIR+CICLOF+DOC,2
CTX+ADB+FLUORAC,2
CICLOF+EPIRRUB+,2
CARB+DOCE+TRANS,2
FLUOR+EPIR+CICL,2
EPIRRUBINA,2
IFO/MESNA,2
TRANS+PERT+CARB,2
"ANASTRAZOL, TRA",2
DOCET+HERC+PERT,2
HERCEP+PERTUZUM,2
HERCP+ZOL+ANAST,2
TAXOL+TRANSTUZ,2
Taxol- AC,2
DOXO+CICLO+FLUO,2
CARBO+TXT+HERCP,2
FAC /TAXOL,2
ADR+CIC+TAXOL,2
DOXO+FLUOR+CICL,2
HERCEPT+ANASTRO,2
AC NEO ADJUVANT,2
aac t,2
TAXOL/ HERCEPT,2
"PACLIT,TRASTU,C",2
"DOXORRUB, PLACT",2
PERT+TRAS+DOC,2
TAXOL+HERECPTIN,2
ACT+Carbo,2
AQCT-H,2
"DOCETAXEL, FILG",2
ACT CLASSICO-(,2
TAXOL+ CARBOPL,2
AC-TXT-HERCEPTI,2
DOCE/HERCEP,2
CDDP+PACLITAXEL,2
"CICL,DOX,PACLI",2
PCT+GENCIATBINA,2
ADRIA+TAXOL,2
ANAS+HERCEPTIN,2
PACLITA/TRANST,2
PACLI/TRANST,2
TAXOL-4 AC DD,2
Carboetaxol,2
"XELODA, HERCEPT",2
ACTH(CICLO+DXO),2
CDDPGENCITABI,2
"AC, T",2
AC+TAXOL TAXOL,2
GEMZR,2
CARBO/HERCEPTIN,2
ANAS+HERCE+PERT,2
EPIRRUB+CICLOFO,2
PAVCLITAXEL,2
GEM+VI,2
TACOL,2
AC /ZOMETA,2
CICLOFOSFA-SOXO,2
CICLOFO+DOXORRI,2
AC+TRASTUZU,2
T H,2
CICLOF+DOXORRU,2
DOXOR+CICLO+DOC,2
ECTAX,2
TRASNTUZUMABE+P,2
Ac +TxT,2
DOCETAXEL+ZOFRA,2
AC  1ª L,2
NAVELBINE DOCE,2
AC100+1000,2
"PACLIOAXEL ,AC",2
"DOCE,TRAST,CARB",2
CARBO/PACLI/ZOM,2
GENU+DOXO1140,2
"CARBO,PACLITAXE",2
AC-FILGRAS,2
CICLOCOXO,2
DECETAL,2
ac+t/c,2
TRASTUZUM,2
A ACDD+,2
AC ADM+CTX,2
EC/PLACLITAXEL,2
4 ACT+4 T,2
FLU-OXALIPLATI,2
ALIMTA,2
ACT+HECEPTIN,2
TRASTUZUME+PERT,2
ANASTROZOL / AR,2
AC-T/GLIVEC,2
AC 100+ 1000MG,2
CILOFO+DOXORRU,2
CARBO/DOCE/TRAN,2
TAXANO,2
PLACI+CARBO,2
GENZAR CARBO,2
TXT +EPI,2
TXT+E,2
PACLITAXEL TRAN,2
DOCETA+CICLOFO,2
DOXO+CICLOFOSTA,2
"TRASTUZUMAB, XE",2
FAC+PAM,2
ADRIAM+CICLOFOS,2
PACLITAXEL  OUT,2
DOXIRRUBICINA,2
GENUXAL / ADRIA,2
CARBOPKLA+TAXOL,2
CARBO/ DOC,2
ACT/GLIVEC,2
CICLO/DOXO/GRAN,2
ANA+HER,2
TAXOL/TRAST,2
TXT+HERCEPITIN,2
HER PACLI,2
PERJA/DOCET/HER,2
PAACLITAXEL,2
"HERCEPTIN, DOCE",2
ACT(ADRI+CICLOS,2
arimi,2
TXT+EPI,2
ZZ,2
NAVELINE,2
TAXOLSEMANAL X,2
ACT(ADRI+CICLO,2
CMF08,2
DOCETAXEL+TRSTU,2
DOCETA+HERCEPT,2
T - AC,2
4,2
ADRIB+GEN+TAXOL,2
DOXA+CICLO+DOCE,2
CICLOSFOMIDA,2
C-T,2
CMFPACLITAXEL,2
"HERCEPTIN , DOC",2
"HERCEPTIN,DOCET",2
ADRIBLAST+DOCET,2
CARBO+DOCE+TRAN,2
DOCETAXEL /TR,2
HERCEPTIN/DOXO,2
CISPLATI+GENCIT,2
CICLOFOS+EPIRRU,2
CARBO+DOCE.TRAN,2
PACLITA+TRASTU,2
PERJETA/DOCET/H,2
HERCEPTIN/,2
HERCEPTIN/TMX,2
CICLO+DOX,2
DC+D,2
FAC DCT,2
4AC/4T+FILGRAS,2
"ADM,TAXOL,",2
"ZOLADEX 10,8MG",2
PERJETA/DOCETAZ,2
ANASTROZOL/ZOLA,2
CISPLATINA + ET,2
4ACDD-12TH,2
CISPLTINA/ZELOD,2
TAXOL+CARB+HER,2
DOXO+CILO,2
AC+GRANUL,2
ACX4+THX12,2
CISPLAT+DOXORRU,2
BONEFOS,2
TXT+CXT,2
TXT+CBP+HERCEP,2
ALHRH + BIF,2
DIC,2
AC-TGENU+ADRIB,2
ANTRACICLINA CI,2
Heceptin,2
ACX4/DOCEX4/HER,2
FEC+ZOMETA,2
PCT+DOXO+CTX,2
4C-12TC,2
ZOMETA+DOXO+CIC,2
AC/PACL + CARBO,2
CARBO+PAEL/AC,2
INIB,2
DOCE+CARBO+TRAT,2
TAXOL+HERCP,2
TAXOLTRAST,2
"DOXO,FILGRASTI",2
ANTZL+HERCEPTIN,2
GENOXAL/ADRIA,2
FILGRASTMA 300,2
decetaxel,2
DOCETA+HERCPTIN,2
AC -OL+GRANULO,2
EPIRRUB+FU+CICL,2
XELODA+GENCITAB,2
TAXOTERI,2
TAXOL+TRAASTUZU,2
ACTXTHERCEPTIN,2
FEC+DOXETAXEL,2
ANASTROZOL/DOCE,2
AC +AV,2
CTX +AC,2
ACX 4SEG DOCETA,2
DOCETAXEL GRNUL,2
TAXOL/HER/NILOT,2
CARBO+TAXOL+AC4,2
TAX/CAR/TRASTUZ,2
TC-TH,2
AC RT,2
AC- D,2
Dexametasona+Ci,2
AC+GRUNOKINE,2
AC+FILSGRAS,2
ACT +FILGRASTI,2
FULVESTRA,2
ac_th,2
DOCE+CARB+HER,2
AC-TR,2
HCP +GemCis,2
TAXOTERI EPI,2
EPI+CIS,2
5FU+CTX,2
AT OSTAC,2
ESQUEMA,2
ACT HERCEP,2
ASNASTROZOL,2
PµCLI,2
AROMAZIM,2
FEC+FOCETAXEL,2
TAC X4 + TXT X4,2
ac+ T,2
PAMID/PACL,2
AC/ADRIA/CTX,2
TAXOTERI + EPI,2
AC +T 4 CICLOS,2
GENCITAB+CDDP,2
ANASTROZOL+ACT,2
HERCEPTIN+ARC,2
BC,2
4AC=4T,2
ACDD/TAXOL,2
AC+FILGRASTIN,2
HERCEPTIN +TAXO,2
TRAST.+TAXOL,2
CSRBO+ PACLI,2
CICLO/ DOXORR,2
AC+FILGRASTIM,2
"AC+T,",2
"FLUO,CICLO FARM",2
HERCEP+ANASTRO,2
GEN+CIS,2
OXA/CAPECITABIN,2
AC-T/AREDIA,2
TAXOTERE + CICL,2
ACT(DEXA+DOXORR,2
DOCE%CARBO,2
Herceptin/docet,2
AX+TAXANE,2
FAC+CARBO,2
CTX/EPIRRUBICIN,2
AC+TXTH,2
TAXOLTAGAMET,2
FILGPAC TAX,2
"CISP,CAMP.OSTAC",2
"DOXO,TAGANET,TA",2
TAXOL/NILO/HERC,2
GENXUAL+DOCE,2
TAXOL/TRASTUZU,2
AC-T06,2
PACLI/GENCITABI,2
CIXLO/DOXO/FILG,2
PACLITAXEL/ZOME,2
12T/4AC,2
"CTX,DOCETAXEL,H",2
TRAST+ PACLI,2
AC X4/ PACLI,2
CARBO/TX/HERCEP,2
CTX+ADM,2
AC ATX,2
TAXOTER,2
FACOL,2
"A,T",2
CICLOFO+DOCETAC,2
AV-T,2
CARB/PACLITAXEL,2
TAXOL+TTAZ,2
EPRI/CICLO,2
AC/CARBO + PACL,2
"PACLITAXEL, A",2
HERCEPTIM/ANAST,2
4 AC-T,2
F500A60C600,2
HERCEPTIM+DOCET,2
Trast+Pertuz+An,2
CARBO+HERCP+DOC,2
PACL+ TRAST,2
PA,2
TRASTUZUMAB + T,2
DOXU/CICLO/TAXO,2
AC+FILGASTRIM,2
TAXOL+HERCEPATI,2
AC-3,2
ZOLAD,2
XS,2
AC +TXT -H,2
AC+TXT+HERCE,2
AC-PT,2
AC +TX,2
CIFLOFOSFAMIDA+,2
"CDDP+TAXOL,",2
AC/4,2
TAXOT+CICLOFOS,2
DOXORUBICINA TA,2
PACCLITAXEL,2
TAXOTE+HERCEPTI,2
DOCOCTX TAXO F,2
CICLO+PCT,2
TRASTU+PACLITAC,2
DOXOFO (5 DIAS),2
QC-T,2
011-ANASTROZOL,2
HERC/NILO/TAXOL,2
AC +CETAXEL,2
QT PREVIA CA DE,2
AC(DOXORRUB+CIC,2
"069-DOCETAXEL,0",2
4AC(DOXO+CICLOF,2
CICLOFOSFAM,2
NC,2
HERCEPTIN+FASLO,2
"FAC,DOCETAXEL",2
AC X4+ TXTX4,2
TAXOL/OSTAC,2
CIS+FU,2
TAXUL,2
PCT+HERCEPTIN,2
AC+txt/hercept,2
CMF+DOCETAXEL,2
AC -TAXEL,2
ADM 90+CTX 900,2
VINO,2
PREVIA,2
T   6,2
"TAXOL, GENUXAL,",2
ACT+TRANSTUZUMA,2
FAC +PAMIDRONAT,2
TAAXOL/CARBO,2
"GEMZAR,CISPLAT",2
4AC(DOXORR+CICL,2
"DOXO,CICLO,PACL",2
NÃúoInformado,2
"HERCEPTIN, XELO",2
DOCETAXEL/CLICL,2
AC-RT,2
PACLITAXL,2
047-CLORIDRATO,2
ACDD+ T,2
CARB/DOCE/HERCE,2
"CARBOP, PACLITA",2
DC-AC,2
DULOXETINA,2
HERCTPTIN+TAXOL,2
"AC, CICLO",2
"4AC,4T",2
PACLLITAXEL,2
CCDP+GENZAR,2
"DOCETAXEL,XELOD",2
CICLO+ METROTR,2
FAC-TAXOTER,2
FAC /TAXOTERE,2
DOXOPLACITAXE,2
CIST/GENA,2
FAC3/TXT3,2
FAc/TXT/ Hercep,2
taxot,2
"CICLO,TAXOL",2
AC -ETAXEL,2
trans,2
gemza,2
CDDP+EP,2
PAACLITAXEL + T,2
PTX S1S4,2
EP+CDDP,2
AC +TA,2
"TC, 034 - Ciclo",2
120-PACLITAXEL,2
TAXOL+CARCOPLAT,2
HERCE+PACLI+TMX,2
CARBO+ TAXOL/A,2
046-DOXURRIBICI,2
AC-DCT + FILGRA,2
DOX CICLO PACLI,2
DOCETAXEL E CIC,2
ACD+TRASTUZUMAB,2
PAXLITAXEL,2
"CICLO, TAXOL",2
DOCETAXEL+ CARB,2
ZOFRAN,2
CICLOFU FARMO,2
CISP/DOCETAXEL,2
CICLO/ DORRUB,2
DOXORRUB/CICLO,2
CICLO/  DOXORRU,2
DOXO-CICLO-PCT,2
FACLITAXEL,2
5FU/EP/CICLO/DO,2
PADIT,2
CMF XELODA,2
SUTENT,2
CICLOTAXOL,2
"MTX,CICLO,FU",2
OSTAC,2
"TAXO,TTZ",2
TAXOL+ HERCEPTI,2
ACDT,2
4AC +4TAXOL,2
TAXOLTRAS,2
CICLO/DOXO/FÇUO,2
ACT-CARBO,2
HERCET+FASLODEX,2
DOXETAXEL E CIC,2
AC/T-CARBO,2
"PACLITAXEL, ZOL",2
"CAPECITABINA,",2
AC+C,2
CICLO/ IFOSF,2
ac +herceptin,2
GENUXAL+ADRI,2
ARBOPLA+PACLITA,2
TAXOL+ ADM,2
CICLO+ETOPOSIDO,2
AC= PCT SEMANAL,2
AC =PACLITAXEL,2
5FU DOXO CICLO,2
FAC/A,2
AC--TX,2
doxo+ciclo+tra+,2
DOXE+CICLO+PACI,2
CTX+DOXO+TAXOL,2
IFOSFAMIDA,2
FAC6,2
5FU +LCV,2
GEMZAR +TAXOL,2
PACLITAXEL + BO,2
ECIIIB  AC,2
AC/TO,2
HT/TAXOL,2
ddAC+PACLITAX/C,2
CICLOFO + DOXOR,2
HERCEPTIM[,2
doxorrubicina+c,2
PERJ/DOC/HERCEP,2
HAB,2
PACLITA+CARBO,2
TRASTUZUMABE/CA,2
FACFECHAR EM,2
acdd+taxol,2
DOXO+CISC+PAC+T,2
FULVESTRATO,2
DOXO+XIXLO+PACL,2
doxorruciclopac,2
doco+ciclo+pacl,2
DOXOICLOTRAPAC,2
ac-dd,2
CICLOSFAMIDA+DX,2
AC=PCT SEMANAL,2
"CICLO,DOXORR, P",2
XELODA/OXILALI,2
pct/pamind,2
DOCETAXEL/FILGR,2
TRATUZUMABEANAS,2
doxu+ciclo+pacl,2
ZMT+FASL+LETROZ,2
DOXA+CICLO+PAC+,2
dox+ciclo+pacli,2
OXA+XELODA,2
MITOTANO,2
069-DOCETAXEL,2
TAXOL+DEXA,2
"CICLOFOSFA,DOXO",2
GENCITABINA CDD,2
CARBO+DOCE+TTZ,2
DOXOICTRASTPAC,2
"TRASTUZUMABE, T",2
DCT/CFM,2
PERT+TRAS+TMX,2
DOX+CICLO++PAC,2
XEL+ZMT,2
CAPECI+PACLITA,2
CARBO+DOCTRASTU,2
DC+CICLOSFAMIDA,2
tax+car+per+tra,2
ZOLA+ANASTROZOL,2
TRASTUZUMABE+AN,2
PACLITACEL CARB,2
GEMCITABINA,2
ANASTROZOL+TRAS,2
doxociccpaclitr,2
"CDDP,DOCETAXEL",2
ADRIA/ CICLOF,2
PACLITAXEL - AC,2
TRASTRU+TAXOL,2
ZMT+CISP+GENC,2
ANASTRO+ZOMETA,2
TMX +ZOLA,2
ZMT+FASLOD,2
AQC+TAXOL,2
GEMZAR A TAXOTE,2
PERT+TRAST,2
PACLITAXEL/TRAT,2
PER+TRAS,2
GEMCITABINA+0,2
DOCECARBO HERC,2
TAXOL+CARBO+XE,2
PACLI.+TRAST.,2
DOX CIC PAC CAR,2
CARB+PACI,2
CICLOF DOXO,2
HERC/CARBO/DOCE,2
tmx+zola,2
GEMZAE TAXOL,2
AXC6,2
HERCEPOTIM,2
MTX CICLO FLUOR,2
HECEPTIM,2
ACIDOZOLED/CIC,2
ACIDO/ZOLDE/CIC,2
HERC/CARB/DOCET,2
CD VARBO,2
CICLIFO+DOCETAC,2
TC+H,2
TAXO+CICLOFOS,2
PACLITMX,2
TC-CARBOPLATIN,2
TAXOLSEMANALCMF,2
ADRI/CICLO/DOCE,2
TANOL,2
AC PREVIA,2
ADRI/GENU/TAXOL,2
TAMOXTAMOXFENO,2
CARBO/ DOCE/,2
GENUXAL/ADRIBLA,2
CARBO/ DOCETAX,2
CONCULT,2
FUELVES+TAMOXI,2
PLAC,2
ZMT+CARBO+XELOD,2
CARBOARBOPLATIN,2
C - (DOXO + CI,2
34+45+120,2
DOX/CICLO,2
ADRIA+GENUXAL,2
DOCETAXELTRANST,2
EXEMESTANO+ANAS,2
69+34,2
PACL+TRASTUZUMA,2
FAC/ZONETA,2
DOXA,2
CICLOFOSA/METRO,2
ZMT+CISPL+GENCI,2
